2026-03-18 17:43:55,130 | INFO | services.company_service | Company update started | company_id=19
2026-03-18 17:43:55,179 | INFO | services.company_service | Company update completed | company_id=19
2026-03-18 17:57:41,569 | INFO | services.company_service | Company update started | company_id=16
2026-03-18 17:57:41,596 | INFO | services.company_service | Company update completed | company_id=16
2026-03-18 17:57:47,726 | INFO | services.company_service | Company update started | company_id=16
2026-03-18 17:57:47,742 | INFO | services.company_service | Company update completed | company_id=16
2026-03-18 18:01:39,275 | INFO | services.company_service | Company update started | company_id=18
2026-03-18 18:01:39,304 | INFO | services.company_service | Company update completed | company_id=18
2026-03-18 18:04:33,896 | INFO | services.company_service | Company update started | company_id=18
2026-03-18 18:04:33,926 | INFO | services.company_service | Company update completed | company_id=18
2026-03-18 18:04:42,528 | INFO | services.company_service | Company deletion started | company_id=13
2026-03-18 18:04:42,564 | INFO | services.company_service | Company deletion completed | company_id=13
2026-03-18 18:23:12,502 | INFO | services.company_service | Company update started | company_id=14
2026-03-18 18:23:12,531 | INFO | services.company_service | Company update completed | company_id=14
2026-03-19 14:53:33,823 | INFO | services.company_service | Company update started | company_id=1
2026-03-19 14:53:33,856 | INFO | services.company_service | Company update completed | company_id=1
2026-03-19 17:11:33,292 | INFO | services.company_service | Company update started | company_id=1
2026-03-19 17:11:33,354 | INFO | services.company_service | Company update completed | company_id=1
2026-03-20 08:50:56,302 | INFO | services.company_service | Company update started | company_id=1
2026-03-20 08:50:56,337 | INFO | services.company_service | Company update completed | company_id=1
2026-03-24 10:40:03,157 | INFO | services.company_service | Company update started | company_id=1
2026-03-24 10:40:03,199 | INFO | services.company_service | Company update completed | company_id=1
2026-03-24 11:43:27,722 | INFO | services.company_service | Company update started | company_id=1
2026-03-24 11:43:27,795 | INFO | services.company_service | Company update completed | company_id=1
2026-03-24 11:43:59,409 | INFO | services.company_service | Company update started | company_id=1
2026-03-24 11:43:59,444 | INFO | services.company_service | Company update completed | company_id=1
